id,category,genre
208650,"2,22,28,29,23,25,41,42,43","1,25"
275850,"2,1,49,36,9,38,22,28,23,42,43","1,25"
263280,"2,1,49,36,9,38,22,29,30,18,17","25,4,23,9,28"
266840,"2,1,9,22,29,30,23,15,25,17","28,2"
238010,"2,22,29,13,18,23,14,42","1,3"
394360,"2,1,9,27,22,29,30,23,42","28,2"
325610,"2,1,49,36,47,9,38,48,22,29,23",2
237930,"2,22,28,29,23,43","1,23,3"
322170,"2,22,29,18,17,41,42","1,23"
221040,"2,1,9,24,22,29,18,23,8,25,44","1,25"
239160,"2,22,28,29,23,25,43","1,25"
45760,"2,1,49,37,22,28,29,23,25,43,44",1
298630,"2,22,29,30,23,25","1,25,23,28,2"
218680,"2,22,29,30,23","25,4,2"
409710,"2,22,28,23,14,41,42,43","1,3"
242700,"2,1,22,28,29,23,25,43",1
291650,"2,22,29,23,14,42",3
552500,"2,1,9,38,22,29,18","1,23"
225260,"2,1,49,36,22,28,29,23,41,42,43","1,25,2"
212480,"2,1,24,22,28,29,23,8,44","9,18"
48720,"2,1,22","1,3"
433340,"2,22,28,29,23,41,42,43","1,25,23,28"
270550,"2,1,9,24,22,28,29,15,25,44","1,4,23,2"
230230,"2,1,9,27,22,29,13,30,23,17,44","25,23,3,2"
3830,"2,22,29,18,23,41,42",1
391720,"2,22,29,18,23","25,23"
657200,"2,1,49,36,22,29,15",28
312530,"2,1,22,28,29,30,17,41,42,43,44","1,23"
524220,"2,22,29,18,23,41,42","1,3"
337000,"2,22,28,29,23","1,3"
242860,"2,1,49,36,22,28,29,23,25","1,23,29,28,2"
311690,"2,1,24,22,28,23,41,42,43,44","1,25,23"
440900,"2,1,49,36,9,38,22,28,29,30,42,43","1,25,29,3,28,2"
403640,"2,22,28,29,23,42,43",1
299740,"1,20,49,36,22,29,18,23,8","1,25,23,29,3,28,2"
247080,"2,1,9,39,22,28,29,13,30,23,25,17,41,42,43,44","1,23,3"
646570,"2,22,28,29,30,23,15,25,41,42,43","23,2"
368230,"2,22,28,29,23,41,42,43","23,28,2"
427270,"2,9,22,35,18","1,37,2"
233250,"2,1,9,27,22,29",2
55150,"2,1,22,28,25,43",1
204880,"2,1,49,36,47,9,38,48,22,29,23,17","1,23,28,2"
206440,"2,22,28,29,23","25,23,3"
249050,"2,1,49,36,9,38,27,22,29,18,23","25,23,3,2"
310560,"2,1,22,28,29,30,23,8,25,41,42,43","9,28,18"
98200,"2,1,22,29,32","23,2"
447820,"1,49,36,9,38,22,30,18,23,15,17,16","1,23,2"
221640,"2,28","1,23"
475150,"2,1,49,36,9,38,22,29,30,23,17","1,3"
215080,"1,20,22,29","25,37,29,3,2"
582160,"2,22,29,13,35,18","1,25,3"
41000,"2,1,49,36,37,9,38,39,24,22,29,18,23,25,44","1,23"
286570,"2,1,27,22,28,29,23,25,43","9,18"
323580,"2,22,28,29,23,43","1,25,23"
244450,"2,1,9,22,29,30,23,15,25,17","1,28,2"
552990,"1,20,49,36,9,38,22,29,35","1,37,29,28"
20500,"2,1,22,28,29,23,25",1
21690,"2,1,9,22,28,29,23,25","1,25"
258970,"2,1,9,24,22,28,29,23,15,25,41,42,43,44","1,25,3"
367520,"2,22,28,29,23,41,42,43","1,25,23"
261570,"2,22,28,29,23,15,43",1
220440,"2,22,28,29,23,25","1,25"
22000,"2,22,29,23",23
302510,"2,1,9,22,28,29,23,15,25,43",1
234630,"2,1,22,29,31,18,25","9,28,18"
367500,"2,22,28,29,23,25,41,42,43","1,25,3"
383870,"2,22,28,29,23,41,42,43,44","25,23"
239070,"2,1,9,38,39,24,22,29,30,18,17,44","1,25,23,3"
594570,"2,1,49,36,47,9,38,48,22,29,30,42","1,2"
624090,"2,1,22,30,23,25,42","28,18"
323850,"2,1,49,36,47,37,9,38,48,39,24,22,28,29,30,23,15,17,41,42,43,44","1,23"
418460,"1,49,36,22,29,30,35,15,17","1,29,28,2"
356190,"2,22,28,29,35,23","1,25,3"
213850,"2,1,9,24,22,29,18,23,15,25,44",2
236090,"2,22,28,29,23,43","1,25,23,3"
296470,"2,1,49,36,37,24,22,29,18,25,41,42,44","23,28,18"
301640,"2,1,9,22,28,29,23,25,43",1
250420,"1,20,22,29,17","1,25,37,23,29,3"
257510,"2,22,28,29,30,23,17,43","1,25,23"
313160,"2,1,9,27,22,29,18,23",28
239350,"2,1,24,22,28,29,25,41,42,43,44",23
222730,"2,22,29","23,28,2"
476600,"2,1,49,36,37,9,38,39,22,28,29,35,23,8,43",1
339280,"2,1,9,22,29,15","1,37,3,2"
382490,"2,1,9,39,24,22,28,29,30,23,25,44","1,37,23"
39800,"2,1,49,36,9,38,39,24,27,22,28,29,23,25,44","1,23"
365450,"2,22,29,13,30,23,17","23,28"
263500,"2,1,9,27,22,29,18","1,25,37,23,3"
434650,"2,1,49,36,37,9,38,39,24,22,28,29,23,41,42,43,44","1,25,23,3"
578310,"1,49,36,27,22,29,35,18,17","1,37,23,29"
287450,"2,1,9,22,29,23,15,25","28,2"
238370,"2,1,9,24,22,28,29,41,42,43,44","1,25"
376570,"20,36,22,29,35","37,29,3"
339800,"2,22,29","23,3,28,2"
360430,"2,22,28,29,23,43","1,25"
437220,"1,9,28,43","1,37,23"
322500,"2,22,28,29","1,23"
434570,"2,1,49,36,9,38,22,28,29,30,23,15,25","1,25,4"
209670,"2,1,24,22,28,29,30,23,17,44","1,23,2"
233840,"2,1,24,22,29,30,18,23,25,17,44",2
588650,"2,22,28,29,30,23,41,42,43","1,23"
232890,"2,1,49,36,9,38,22,29,30,23,17","28,2"
379430,"2,22,28,29,23,43","1,25,3"
323470,"2,1,9,22,28,29,23,25,41,42,43",1
367450,"2,22,29,30,23,15,25,17,41,42","23,28"
284160,"2,22,29,18,23,17,41,42","9,28,70"
447020,"2,1,9,27,22,28,29,23,43",28
211400,"2,22,28,29,23,43","1,25,23"
18820,"2,1,22,29,18,23,15","1,23,9,18"
94400,"2,1,22,28,15,25,43,44","1,23,18"
466560,"2,1,49,36,9,38,22,29,23","23,28,2"
536930,"2,1,49,36,22,28,29,35,23","37,3"
386940,"1,49,36,37,9,38,39,24,27,22,28,29,23,17,43,44","1,4,23"
91700,"2,1,9,24,22,29,18,15,25,44","1,23,3"
294860,"2,22,28,29,23","1,3,2"
226840,"2,1,9,24,27,22,29,30,23,17,44","3,2"
70300,"2,22,28,29,43","1,23"
644930,"2,22,29,30,23,15,25,17,42",2
96100,"2,22,28,29,13","1,4,23"
107200,"2,22,29,23,15","1,23,3,2"
72200,"2,22,29,15","4,23,28"
392110,"2,1,49,36,27,22,29,30,23,42",2
237990,"2,22,28,29,13,23,17,42,43","23,3,2"
228280,"2,1,9,27,22,29,13,23","3,2"
214340,"2,22,29,23,41,42","25,23"
265300,"2,22,29,18,23","1,3"
304650,"2,22,29,23","25,23,3"
268050,"2,22,28,29,13,23,43",1
215470,"1,49,36,22,29,18,8","1,23"
244160,"2,1,22,30,23","28,2"
215530,"2,1,9,27,22,28,29,23,15,25,43","1,25,23,3"
312660,"2,1,9,22,28,29,23,25,43","1,25"
428690,"2,22,28,29,23","23,28,2"
261180,"2,1,24,27,22,28,29,23,43,44","1,23,18"
40390,"2,22,29,18,15",3
402570,"1,36,22,29,35","37,2"
292120,"2,22,29,18,23,41,42",3
254700,"2,22,28,29,13,23,25","1,25"
480490,"2,22,28,29,23,43","1,25"
7520,"2,1,49,36,9,38,27,22,28,29,35,23,43",3
206190,"2,22,29,13,23,17,41,42,44","1,23,2"
246900,"2,1,9,38,48,39,24,22,28,29,30,23,17","23,28"
245470,"2,22,29,30,25","23,28,2"
293260,"2,1,9,27,22,29,13,17","37,3,2"
92800,"2,22,29,23,25","23,28"
285190,"2,1,49,36,22,29,30,23,15,17","1,28,2"
323190,"2,22,29,23,41,42","28,2"
350280,"1,36,22,29,35,18","73,74,1"
265590,"2,1,49,36,9,38,22,29,13,23,15,25","1,3,2"
418370,"2,22,28,29,23","1,25"
439190,"2,22,28,29,23,43","1,25,23,3"
287290,"2,1,9,38,39,22,28,29,23,25,41,42,43,44","1,25"
489520,"2,1,49,36,9,38,27,22,28,29,35,23,42","1,25,37,23,3,2"
250180,"2,1,9,38,39,22,28,29,23,25,41,42,43,44",1
63710,"2,22,28,29,23,25","1,23"
305050,"2,9,22,28,29,23,25,43","1,25,23"
17710,"1,49,36,27,22,29,30,18,23,8,15,17","1,2"
22230,"2,1,49,36,37,9,24,22,29,18,23,25","1,23,9,2"
351940,"2,22,28,29,13","25,4,23"
438740,"1,22,28,15,25,43",1
45740,"2,1,9,22,29,18,23","1,25"
240760,"2,22,13,18,23","25,23,3,2"
214870,"2,1,9,24,22,29,30,18,23,25,17,44",1
266510,"2,22,28,29,23,25,43","1,23,3"
264140,"2,22,29","25,23,3,28"
253030,"2,22,28,29,30,23,15,25,17,41,42,43","1,23,9"
225600,"1,49,36,37,27,22,29,30,35,18,23,15,17,16,44","1,23"
40700,"2,22,28,29,23,25,43","25,23"
249990,"2,1,49,36,37,9,38,39,24,27,22,28,29,23,25,44","1,25,23,3"
299460,"2,1,24,22,29,18,44","1,25,23"
49600,"2,1,9,24,27,22,28,29,23,25,44","1,4,23"
247000,"2,1,49,36,37,24,27,22,28,29,23,25,41,42,43,44","23,3,2"
223100,"2,9,22,28,29,13,15,43","1,25"
448510,"2,1,49,37,9,39,24,22,28,29,23,41,42,43,44","1,4,23,28"
218640,"2,22,28,29,23","73,74,1,25,23"
462780,"2,22,28,29,23,41,42,43","1,25,3"
362890,"2,1,49,36,27,22,29,13,30,18,23,17,16,41,42","1,25,23"
232050,"2,1,9,39,22,29,23,44","23,3,2"
257850,"2,1,49,37,9,39,22,28,29,41,42,43,44","1,25,23,3"
268870,"2,1,49,36,47,9,38,48,27,22,29,23,25","1,23,2"
220260,"2,1,9,22,29,18,23","4,28"
274920,"22,29,30","51,58"
228300,"2,22,28,29,23,43","1,25"
236150,"2,22,29,30,18,23","1,3,28"
262280,"2,1,27,22,29,18,23","3,28,2"
250760,"2,1,49,37,9,39,24,22,28,29,23,41,42,43,44","1,25,23"
255220,"2,1,24,27,22,28,29,23,8,25,43,44","9,18"
288470,"2,22,28,29,30,23,41,42,43",3
224480,"2,1,24,22,28,29,30,23,17,41,42,43,44","1,25,23"
327890,"2,22,28,29,23,25,43","1,25,23,28"
368360,"2,22,29,18,23","25,4,23,28,2"
333600,"2,22,29,23,41,42","4,23"
384190,"2,22,28,29","1,25,4,23,28"
227100,"2,1,9,22,29,18,23,8,25",1
359870,"2,22,29,18,23,41,42",3
334210,"2,1,9,22,28,29,23,43","1,23,2"
91200,"2,22,28,29,23,25","1,23,2"
290340,"2,1,49,36,22,28,29,35,23,8,43","25,23,3,2"
385800,"2,22,29,23","71,72,4,23"
362960,"2,22,29,23,42","25,3"
318600,"2,22,28,29,23,43","1,25,23"
